SEX,LENGTH,DIAM,HEIGHT,WHOLE,SHUCK,RINGS,CLASS
M,11.97,8.505,3.36,115.5625,42.631875,13,A5
M,10.92,8.4,2.52,102.875,36.8775,13,A5
M,12.18,9.87,3.465,115.875,39.785625,13,A5
M,13.44,11.025,3.885,213.375,94.42125,13,A5
M,7.35,5.565,1.89,22.1875,7.115625,13,A5
M,11.97,9.555,3.255,104,44.364375,13,A5
M,12.495,9.87,3.045,123.875,49.933125,14,A5
M,14.28,11.34,4.095,222.8125,68.866875,13,A5
M,12.81,10.08,2.94,132.8125,63.855,13,A5
M,13.545,10.5,3.99,153.625,65.5,17,A5
M,11.13,9.135,3.36,110.375,39.5,15,A5
M,12.285,8.505,3.15,157.0625,54.375,15,A5
M,13.23,10.71,3.99,187.3125,51.5625,16,A5
M,12.6,10.395,3.465,155.1875,60.625,15,A5
M,11.97,8.505,3.36,115.5625,43.0625,19,A5
M,13.335,10.815,3.57,159.375,63.625,16,A5
M,11.76,9.45,3.675,126.375,47.9375,15,A5
M,13.545,10.185,3.255,186.125,73.9375,18,A5
M,14.49,11.34,3.885,202.4375,66.625,24,A5
M,12.285,9.555,4.725,131.875,47.6875,15,A5
M,12.39,9.66,3.255,113.25,40.875,15,A5
M,13.44,10.71,3.675,171,64.375,21,A5
M,8.82,6.825,2.415,36.0625,12.5,15,A5
M,13.23,10.815,3.465,169,61,20,A5
M,13.86,11.235,4.2,223.875,91.625,15,A5
M,11.13,8.715,2.73,105.3125,34.375,20,A5
M,10.395,8.4,2.94,97.1875,25.1875,15,A5
M,11.445,8.61,3.045,109.125,37.9375,18,A5
M,10.71,8.715,2.94,102.3125,37.8125,16,A5
M,11.025,8.61,2.73,123.75,48.3125,15,A5
M,14.7,11.13,3.99,164.8125,68.5,18,A5
M,12.915,10.08,3.99,170,66.3125,18,A5
M,12.075,9.135,3.15,100.625,36.625,17,A5
M,9.555,7.665,1.995,64.25,28.0625,15,A5
M,11.865,9.765,3.15,141.0625,47.125,16,A5
M,13.23,10.185,3.675,162.5,54.1875,23,A5
M,12.075,8.4,3.255,116.5625,45.0625,17,A5
M,12.18,9.66,3.465,153.4375,59.125,16,A5
M,14.175,11.655,4.2,179.8125,68.125,21,A5
M,13.44,10.5,3.885,162.9375,55.5625,16,A5
M,9.345,7.245,2.94,59.5,25.6875,15,A5
M,13.335,10.08,4.935,133,51.625,16,A5
M,13.755,11.13,3.675,157.9375,60.75,15,A5
M,12.81,10.29,3.15,137.875,53.125,23,A5
M,13.545,10.185,4.515,189.25,68.25,16,A5
M,13.125,10.5,4.095,171.125,73.4375,17,A5
M,12.705,9.87,2.415,139.25,49.0625,15,A5
M,10.815,8.4,3.36,102.1875,31.4375,23,A5
M,14.595,11.97,4.83,235.625,108.3125,19,A5
M,12.39,10.5,4.2,148.375,51.5,16,A5
M,11.76,9.45,3.36,115.25,54,15,A5
